idx,condition,recall@1,ndcg@1,mrr@1,recall@5,ndcg@5,mrr@5,recall@10,ndcg@10,mrr@10,recall@20,ndcg@20,mrr@20
544,dis,0,0.0,0.0,1,0.5,0.3333333333333333,1,0.5,0.3333333333333333,1,0.5,0.3333333333333333
545,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
572,dis,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0
576,dis,0,0.0,0.0,1,0.6309297535714575,0.5,1,0.6309297535714575,0.5,1,0.6309297535714575,0.5
578,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,0.27894294565112987,0.09090909090909091
583,dis,0,0.0,0.0,1,0.43067655807339306,0.25,1,0.43067655807339306,0.25,1,0.43067655807339306,0.25
583,dis,0,0.0,0.0,1,0.5,0.3333333333333333,1,0.5,0.3333333333333333,1,0.5,0.3333333333333333
587,dis,0,0.0,0.0,1,0.38685280723454163,0.2,1,0.38685280723454163,0.2,1,0.38685280723454163,0.2
628,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
655,dis,0,0.0,0.0,1,0.6309297535714575,0.5,1,0.6309297535714575,0.5,1,0.6309297535714575,0.5
668,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
671,dis,0,0.0,0.0,1,0.5,0.3333333333333333,1,0.5,0.3333333333333333,1,0.5,0.3333333333333333
696,dis,0,0.0,0.0,1,0.6309297535714575,0.5,1,0.6309297535714575,0.5,1,0.6309297535714575,0.5
704,dis,0,0.0,0.0,1,0.43067655807339306,0.25,1,0.43067655807339306,0.25,1,0.43067655807339306,0.25
712,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
734,dis,0,0.0,0.0,1,0.38685280723454163,0.2,1,0.38685280723454163,0.2,1,0.38685280723454163,0.2
738,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
742,dis,0,0.0,0.0,1,0.6309297535714575,0.5,1,0.6309297535714575,0.5,1,0.6309297535714575,0.5
745,dis,0,0.0,0.0,0,0.0,0.0,1,0.3562071871080222,0.16666666666666666,1,0.3562071871080222,0.16666666666666666
779,dis,0,0.0,0.0,1,0.6309297535714575,0.5,1,0.6309297535714575,0.5,1,0.6309297535714575,0.5
784,dis,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0
789,dis,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0
830,dis,0,0.0,0.0,1,0.5,0.3333333333333333,1,0.5,0.3333333333333333,1,0.5,0.3333333333333333
855,dis,0,0.0,0.0,1,0.5,0.3333333333333333,1,0.5,0.3333333333333333,1,0.5,0.3333333333333333
869,dis,0,0.0,0.0,1,0.5,0.3333333333333333,1,0.5,0.3333333333333333,1,0.5,0.3333333333333333
874,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
878,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
881,dis,0,0.0,0.0,1,0.6309297535714575,0.5,1,0.6309297535714575,0.5,1,0.6309297535714575,0.5
895,dis,0,0.0,0.0,0,0.0,0.0,1,0.3562071871080222,0.16666666666666666,1,0.3562071871080222,0.16666666666666666
918,dis,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0
929,dis,0,0.0,0.0,1,0.43067655807339306,0.25,1,0.43067655807339306,0.25,1,0.43067655807339306,0.25
954,dis,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0
963,dis,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0
980,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
980,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
980,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
996,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
1014,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
1016,dis,0,0.0,0.0,1,0.38685280723454163,0.2,1,0.38685280723454163,0.2,1,0.38685280723454163,0.2
1034,dis,0,0.0,0.0,0,0.0,0.0,1,0.2890648263178879,0.1,1,0.2890648263178879,0.1
1036,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
1038,dis,0,0.0,0.0,0,0.0,0.0,1,0.3562071871080222,0.16666666666666666,1,0.3562071871080222,0.16666666666666666
1040,dis,0,0.0,0.0,1,0.6309297535714575,0.5,1,0.6309297535714575,0.5,1,0.6309297535714575,0.5
1042,dis,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0
1049,dis,0,0.0,0.0,0,0.0,0.0,1,0.3562071871080222,0.16666666666666666,1,0.3562071871080222,0.16666666666666666
1050,dis,0,0.0,0.0,1,0.6309297535714575,0.5,1,0.6309297535714575,0.5,1,0.6309297535714575,0.5
1051,dis,0,0.0,0.0,0,0.0,0.0,1,0.3562071871080222,0.16666666666666666,1,0.3562071871080222,0.16666666666666666
1056,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
1057,dis,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0
1058,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
1060,dis,0,0.0,0.0,1,0.5,0.3333333333333333,1,0.5,0.3333333333333333,1,0.5,0.3333333333333333
1065,dis,0,0.0,0.0,1,0.6309297535714575,0.5,1,0.6309297535714575,0.5,1,0.6309297535714575,0.5
1072,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,0.27894294565112987,0.09090909090909091
1083,dis,0,0.0,0.0,0,0.0,0.0,1,0.3010299956639812,0.1111111111111111,1,0.3010299956639812,0.1111111111111111
1087,dis,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0
1089,dis,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0
1090,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
1091,dis,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0
1092,dis,0,0.0,0.0,1,0.5,0.3333333333333333,1,0.5,0.3333333333333333,1,0.5,0.3333333333333333
1093,dis,0,0.0,0.0,1,0.6309297535714575,0.5,1,0.6309297535714575,0.5,1,0.6309297535714575,0.5
1094,dis,0,0.0,0.0,1,0.43067655807339306,0.25,1,0.43067655807339306,0.25,1,0.43067655807339306,0.25
1094,dis,0,0.0,0.0,1,0.5,0.3333333333333333,1,0.5,0.3333333333333333,1,0.5,0.3333333333333333
1121,dis,0,0.0,0.0,1,0.6309297535714575,0.5,1,0.6309297535714575,0.5,1,0.6309297535714575,0.5
1122,dis,0,0.0,0.0,0,0.0,0.0,1,0.3010299956639812,0.1111111111111111,1,0.3010299956639812,0.1111111111111111
1125,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
1129,dis,0,0.0,0.0,1,0.5,0.3333333333333333,1,0.5,0.3333333333333333,1,0.5,0.3333333333333333
1129,dis,0,0.0,0.0,1,0.43067655807339306,0.25,1,0.43067655807339306,0.25,1,0.43067655807339306,0.25
1131,dis,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0,1.0
1132,dis,0,0.0,0.0,1,0.43067655807339306,0.25,1,0.43067655807339306,0.25,1,0.43067655807339306,0.25
1142,dis,0,0.0,0.0,1,0.43067655807339306,0.25,1,0.43067655807339306,0.25,1,0.43067655807339306,0.25
1144,dis,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
