0,1,2
The Shining,0.09781864423359092,0.04250797024442083
Get Out,0.09781864423359092,0.10626992561105207
Eternal Sunshine of the Spotless Mind,0.09781864423359092,1.540913921360255
The Northman,0.09781864423359092,0.010626992561105207
The Apartment,0.09781864423359092,0.010626992561105207
Eyes Wide Shut,0.09292771202191137,0.10626992561105207
The Lobster,0.09292771202191137,0.08501594048884166
Looper,0.09292771202191137,0.031880977683315624
The Road,0.09292771202191137,0.19128586609989373
Snatch,0.09292771202191137,0.17003188097768332
World War Z,0.09292771202191137,0.031880977683315624
The Shawshank Redemption,0.08803677981023184,1.487778958554729
The Fountain,0.08803677981023184,0.1381509032943677
Krampus,0.08803677981023184,0.07438894792773645
Pacific Rim,0.08803677981023184,0.021253985122210415
Home Alone,0.08803677981023184,0.48884165781083955
Ex Machina,0.08803677981023184,0.010626992561105207
The Royal Tenenbaums,0.08803677981023184,0.1806588735387885
Superbad,0.08803677981023184,0.3188097768331562
Avatar,0.08803677981023184,0.031880977683315624
The Invitation,0.08803677981023184,0.021253985122210415
Annihilation,0.08803677981023184,0.031880977683315624
Moana,0.08803677981023184,0.04250797024442083
Saving Private Ryan,0.08314584759855229,0.8076514346439958
Run Lola Run,0.08314584759855229,0.2869287991498406
Gladiator,0.08314584759855229,0.053134962805526036
Grave of the Fireflies,0.08314584759855229,0.26567481402763016
The Hateful Eight,0.08314584759855229,0.053134962805526036
It Follows,0.08314584759855229,0.021253985122210415
Mulholland Drive,0.08314584759855229,1.2858660998937301
Chinatown,0.08314584759855229,0.031880977683315624
Taxi Driver,0.08314584759855229,0.8607863974495218
The Fall,0.08314584759855229,0.07438894792773645
Identity,0.08314584759855229,0.021253985122210415
Lost in Translation,0.07825491538687274,0.4250797024442083
Groundhog Day,0.07825491538687274,0.08501594048884166
Almost Famous,0.07825491538687274,0.031880977683315624
Little Miss Sunshine,0.07825491538687274,0.563230605738576
American Psycho,0.07825491538687274,0.08501594048884166
Sicario,0.07825491538687274,0.1275239107332625
Blue Velvet,0.07825491538687274,0.10626992561105207
The Silence of the Lambs,0.07825491538687274,0.6269925611052072
Black Swan,0.07825491538687274,0.23379383634431455
Schindler's List,0.07825491538687274,0.35069075451647186
Stalker,0.07825491538687274,0.010626992561105207
Brick,0.07825491538687274,0.031880977683315624
The Edge,0.07825491538687274,0.053134962805526036
Sunshine,0.07825491538687274,0.010626992561105207
Casablanca,0.07825491538687274,0.23379383634431455
Saw,0.07336398317519319,0.021253985122210415
The Ref,0.07336398317519319,0.010626992561105207
Blade Runner 2049,0.07336398317519319,0.38257173219978746
Mad Max,0.07336398317519319,0.1275239107332625
The Batman,0.07336398317519319,0.22316684378320936
Rope,0.07336398317519319,0.07438894792773645
Moonlight,0.07336398317519319,0.21253985122210414
What We Do in the Shadows,0.07336398317519319,0.053134962805526036
Back to the Future,0.07336398317519319,0.5951115834218916
The Wailing,0.06847305096351365,0.010626992561105207
Citizen Kane,0.06847305096351365,0.26567481402763016
10 Cloverfield Lane,0.06847305096351365,0.053134962805526036
Mystic River,0.06847305096351365,0.021253985122210415
A Beautiful Mind,0.06847305096351365,0.07438894792773645
Good Will Hunting,0.06847305096351365,0.8395324123273114
Battle Royale,0.06847305096351365,0.031880977683315624
Unforgiven,0.06847305096351365,0.34006376195536664
John Wick,0.06847305096351365,0.8182784272051009
The Last Starfighter,0.06847305096351365,0.06376195536663125
Lawrence of Arabia,0.06847305096351365,0.19128586609989373
All Quiet on the Western Front,0.06847305096351365,0.053134962805526036
Train to Busan,0.0635821187518341,0.021253985122210415
Misery,0.0635821187518341,0.06376195536663125
Manchester by the Sea,0.0635821187518341,0.19128586609989373
Dark City,0.0635821187518341,0.19128586609989373
This Is the End,0.0635821187518341,0.11689691817215728
Just Friends,0.0635821187518341,0.010626992561105207
Pi,0.0635821187518341,0.07438894792773645
The Witch,0.0635821187518341,0.1594048884165781
Hereditary,0.0635821187518341,0.031880977683315624
Martyrs,0.0635821187518341,0.021253985122210415
Trainspotting,0.0635821187518341,0.30818278427205104
The Girl with the Dragon Tattoo,0.0635821187518341,0.19128586609989373
Vertigo,0.0635821187518341,0.1381509032943677
Spirited Away,0.0635821187518341,0.053134962805526036
Jaws,0.0635821187518341,0.08501594048884166
Commando,0.0635821187518341,0.06376195536663125
Event Horizon,0.0635821187518341,0.1594048884165781
A Wednesday,0.0635821187518341,0.1275239107332625
Boyhood,0.0635821187518341,0.2763018065887354
Black Christmas,0.05869118654015455,0.4675876726886291
2001: A Space Odyssey,0.05869118654015455,0.6163655685441021
In the Mood for Love,0.05869118654015455,0.09564293304994687
Clueless,0.05869118654015455,0.1487778958554729
The Princess Bride,0.05869118654015455,0.6163655685441021
